ID,Name,Position,ADP,Team,rank
1175184,Jameson Williams,WR,106.3805,DET,86
1130603,Khalil Shakir,WR,113.4546,BUF,87
821389,Curtis Samuel,WR,103.5555,BUF,88
560241,DeAndre Hopkins,WR,88.2534,TEN,89
1110697,Zamir White,RB,77.89933,LV,90
1285917,Brock Bowers,TE,92.20551,LV,91
878785,Joe Burrow,QB,68.12701,CIN,92
591816,Dak Prescott,QB,82.93595,DAL,93
1123379,Chase Brown,RB,121.9416,CIN,94
913170,Zack Moss,RB,95.99806,CIN,95
606501,Raheem Mostert,RB,87.32832,MIA,96
880398,Tony Pollard,RB,94.6662,TEN,97
973964,Najee Harris,RB,92.58554,PIT,98
1326601,Jonathon Brooks,RB,102.1194,CAR,99
832098,David Njoku,TE,86.67735,CLE,100
912137,Jordan Love,QB,79.60426,GB,101
1286445,Caleb Williams,QB,90.75152,CHI,102
1161228,Jayden Daniels,QB,108.204,WAS,103
1121761,Brock Purdy,QB,97.38793,SF,104
1059612,Joshua Palmer,WR,128.4089,LAC,105
1122653,Romeo Doubs,WR,110.5274,GB,106
838878,Courtland Sutton,WR,117.6015,DEN,107
605242,Tyler Lockett,WR,120.9028,SEA,108
923412,Rashid Shaheed,WR,126.9026,NO,109
1172428,Dontayvion Wicks,WR,150.499,GB,110
791365,Dallas Goedert,TE,108.1152,PHI,111
973966,Brian Robinson Jr.,RB,118.609,WAS,112
1107881,Javonte Williams,RB,105.3721,DEN,113
607864,Brandin Cooks,WR,135.7218,DAL,114
739799,Gus Edwards,RB,120.9079,LAC,115
916466,Devin Singletary,RB,114.5675,NYG,116
1169430,Tyjae Spears,RB,124.931,TEN,117
933480,Rico Dowdle,RB,141.002,DAL,118
1229540,Blake Corum,RB,129.9529,LAR,119
1125737,Jerome Ford,RB,136.9841,CLE,120
1110711,Trevor Lawrence,QB,113.2585,JAX,121
880151,Jakobi Meyers,WR,126.1365,LV,122
1285908,Adonai Mitchell,WR,116.1358,IND,123
973935,Jerry Jeudy,WR,135.4457,CLE,124
976761,Gabe Davis,WR,130.6693,JAX,125
733754,Mike Williams,WR,103.9822,NYJ,126
1213881,Ja'Lynn Polk,WR,163.4828,NE,127
973947,Tua Tagovailoa,QB,109.1704,MIA,128
727837,Jared Goff,QB,107.4786,DET,129
1248031,Trey Benson,RB,107.1983,ARI,130
910562,Justin Herbert,QB,115.5725,LAC,131
1164530,Zach Charbonnet,RB,140.2473,SEA,132
503184,Taysom Hill,TE,175.3261,NO,133
830523,Dalton Schultz,TE,117.7785,HOU,134
728338,Ezekiel Elliott,RB,131.3007,DAL,135
1116662,Pat Freiermuth,TE,140.6085,PIT,136
1215077,Josh Downs,WR,139.4177,IND,137
1180321,Xavier Legette,WR,142.7422,CAR,138
790004,Austin Ekeler,RB,99.33485,WAS,139
912027,Darnell Mooney,WR,156.0942,ATL,140
1059576,Ty Chandler,RB,155.1705,MIN,141
1131198,Tyler Allgeier,RB,169.6322,ATL,142
1286513,Jaylen Wright,RB,152.0067,MIA,143
1165229,Ray Davis,RB,157.9602,BUF,144
1325231,Braelon Allen,RB,226.1215,NYJ,145
935104,Khalil Herbert,RB,187.9237,CHI,146
822857,Nick Chubb,RB,93.49834,CLE,147
1213414,MarShawn Lloyd,RB,170.7516,GB,148
1287923,Bucky Irving,RB,183.9143,TB,149
1116001,Jordan Mason,RB,,SF,150
1066765,Cole Kmet,TE,129.4049,CHI,151
923915,T.J. Hockenson,TE,115.1788,MIN,152
1179790,Luke Musgrave,TE,146.2342,GB,153
403308,Kirk Cousins,QB,124.2412,ATL,154
213957,Aaron Rodgers,QB,135.2281,NYJ,155
323205,Matthew Stafford,QB,133.6523,LAR,156
828743,Deshaun Watson,QB,148.6026,CLE,157
1271738,Jaleel McLaughlin,RB,190.5299,DEN,158
1123529,Michael Wilson,WR,163.3908,ARI,159
1121878,Jahan Dotson,WR,142.5176,WAS,160
1066424,Jalen Tolbert,WR,227.5881,DAL,161
1124851,Andrei Iosivas,WR,230.629,CIN,162
1161416,Ricky Pearsall,WR,149.4976,SF,163
1164875,Wan'Dale Robinson,WR,181.8309,NYG,164
1175693,DeMario Douglas,WR,192.602,NE,165
733643,Adam Thielen,WR,152.935,CAR,166
976513,J.K. Dobbins,RB,144.6442,LAC,167
1062047,Chuba Hubbard,RB,160.0822,CAR,168
1107826,Antonio Gibson,RB,166.5285,NE,169
513856,Geno Smith,QB,163.5273,SEA,170
861278,Tyler Conklin,TE,189.5286,NYJ,171
744425,Hunter Henry,TE,166.4718,NE,172
1125111,Isaiah Likely,TE,167.8071,BAL,173
923911,Noah Fant,TE,208.8817,SEA,174
1049263,Cade Otton,TE,156.4558,TB,175
910852,Greg Dortch,WR,219.9213,ARI,176
1213726,Jalen McMillan,WR,210.9959,TB,177
1215291,Malachi Corley,WR,172.3971,NYJ,178
822008,DJ Chark Jr.,WR,214.5055,FA,179
727279,Demarcus Robinson,WR,199.4742,LAR,180
1218631,Jermaine Burton,WR,171.6476,CIN,181
748070,Baker Mayfield,QB,146.4582,TB,182
1116663,Will Levis,QB,171.1109,TEN,183
880026,Sam Darnold,QB,225.7881,MIN,184
1108208,Rashod Bateman,WR,183.1579,BAL,185
1228920,Ben Sinnott,TE,159.5315,WAS,186
743749,Jonnu Smith,TE,187.5608,MIA,187
884609,Juwan Johnson,TE,176.1513,NO,188
1163273,Jordan Whittington,WR,235.1667,LAR,189
1128085,Greg Dulcich,TE,230.7983,DEN,190
1231136,Javon Baker,WR,194.8309,NE,191
1229669,Roman Wilson,WR,165.826,PIT,192
1164846,Luke McCaffrey,WR,184.1821,WAS,193
692660,Kalif Raymond,WR,229.948,DET,194
1286803,Drake Maye,QB,183.2212,NE,195
1161899,Bo Nix,QB,198.1821,DEN,196
1110681,Justin Fields,QB,184.8131,PIT,197
879981,Daniel Jones,QB,193.3448,NYG,198
1213257,Bryce Young,QB,185.9291,CAR,199
496083,Derek Carr,QB,185.5682,NO,200
1109708,Tyrone Tracy Jr.,RB,194.9993,NYG,201
1287636,Will Shipley,RB,208.2039,PHI,202
1163265,Roschon Johnson,RB,193.6934,CHI,203
1213867,Kendre Miller,RB,161.6508,NO,204
1108998,Dameon Pierce,RB,207.2692,HOU,205
1215035,Tank Bigsby,RB,220.7681,JAX,206
1321291,Audric Estime,RB,206.5639,DEN,207
835443,D'Onta Foreman,RB,223.8912,CLE,208
1173266,Evan Hull,RB,227.191,IND,209
1213799,Marvin Mims Jr.,WR,180.2363,DEN,210
1214414,Theo Johnson,TE,230.2582,NYG,211
1222789,Keaton Mitchell,RB,179.5701,BAL,212
1319219,Carson Steele,RB,,KC,213
1128998,Deneric Prince,RB,,KC,214
976650,Clyde Edwards-Helaire,RB,226.6876,KC,215
1050833,Elijah Mitchell,RB,198.853,SF,216
944343,Alexander Mattison,RB,217.6053,LV,217
976236,Trey Sermon,RB,,IND,218
820734,Samaje Perine,RB,227.1603,DEN,219
836152,Mike Gesicki,TE,208.2364,CIN,220
881956,Hayden Hurst,TE,230.4848,LAC,221
1060312,Colby Parkinson,TE,228.9045,LAR,222
1106374,Chig Okonkwo,TE,195.5432,TEN,223
884083,Dawson Knox,TE,227.7269,BUF,224
1232592,Michael Mayer,TE,211.8139,LV,225
1213865,Quentin Johnston,WR,151.4045,LAC,226
754412,Kendrick Bourne,WR,216.6379,NE,227
822367,Josh Reynolds,WR,226.0215,DEN,228
1277914,Devontez Walker,WR,217.478,BAL,229
1122182,Dylan Laube,RB,214.8318,LV,230
1214824,Kimani Vidal,RB,173.6959,LAC,231
1229074,Parker Washington,WR,229.8462,JAX,232
1232892,Jalin Hyatt,WR,208.8884,NYG,233
742387,Tyler Boyd,WR,213.6322,FA,234
702808,Mack Hollins,WR,228.8795,BUF,235
1164979,Tre Tucker,WR,231.339,LV,236
881058,K.J. Osborn,WR,228.8711,NE,237
880557,Darius Slayton,WR,218.7491,NYG,238
867759,Ray-Ray McCloud III,WR,,ATL,239
1213486,Johnny Wilson,WR,227.0405,PHI,240
836103,Noah Brown,WR,221.6462,HOU,241
1176431,Casey Washington,WR,,ATL,242
1286176,Troy Franklin,WR,158.0856,DEN,243
589984,Odell Beckham Jr.,WR,199.7762,FA,244
1173255,Malik Washington,WR,212.0677,MIA,245
691055,Nelson Agholor,WR,227.7556,BAL,246
746491,Zay Jones,WR,,,247
1062765,Calvin Austin III,WR,227.9101,PIT,248
1124664,Cedric Tillman,WR,,CLE,249
1109758,A.T. Perry,WR,228.5311,NO,250
838179,Tim Patrick,WR,232.3922,DEN,251
742382,Marquez Valdes-Scantling,WR,,FA,252
832220,Justin Watson,WR,225.2264,KC,253
1177970,Xavier Gipson,WR,225.2264,NYJ,254
1225999,Brenden Rice,WR,218.3237,LAC,255
1172024,Treylon Burks,WR,222.6256,TEN,256
1229133,Rasheen Ali,RB,227.7744,BAL,257
1164137,Jawhar Jordan,RB,228.0075,HOU,258
1130705,Kenneth Gainwell,RB,229.2185,PHI,259
1108937,Jaret Patterson,RB,,LAC,260
1223301,Jalen Brooks,WR,,DAL,261
1128783,Elijah Moore,WR,218.2712,CLE,262
1172173,Keilan Robinson,RB,,JAX,263
1122323,Lucas Krull,TE,,DEN,264
1126338,Isaac Guerendo,RB,214.7238,SF,265
1161798,Eric Gray,RB,230.4512,NYG,266
921050,Kylen Granson,TE,230.4433,IND,267
1326628,Ja'Tavion Sanders,TE,200.301,CAR,268
1181874,Tucker Kraft,TE,218.6891,GB,269
875649,Donald Parham Jr.,TE,223.9441,LAC,270
1161664,Davis Allen,TE,229.7797,LAR,271
1066811,Aidan O'Connell,QB,225.8614,LV,272
975503,Jelani Woods,TE,229.6813,IND,273
1122035,Daniel Bellinger,TE,230.825,NYG,274
1180328,Ainias Smith,WR,226.8125,PHI,275
924261,Miles Sanders,RB,228.1605,CAR,276
1160348,John Metchie III,WR,227.5238,HOU,277
1106760,Tutu Atwell,WR,227.7432,LAR,278
1181861,Jacob Cowing,WR,230.459,SF,279
1182695,Mason Tipton,WR,,NO,280
974825,Kadarius Toney,WR,225.701,KC,281
1127080,Nikko Remigio,WR,,KC,282
1393832,Ryan Flournoy,WR,229.5185,DAL,283
867303,Gardner Minshew II,QB,211.948,LV,284
838487,Gerald Everett,TE,227.9021,CHI,285
1161739,Trey Palmer,WR,228.7874,TB,286
1115394,Tanner Hudson,TE,230.1613,CIN,287
839043,D'Ernest Johnson,RB,232.7576,JAX,288
