ID,Name,Position,ADP,Team,rank
1326601,Jonathon Brooks,RB,102.1194,CAR,86
1214087,Jaxon Smith-Njigba,WR,95.75016,SEA,87
1175184,Jameson Williams,WR,106.3805,DET,88
821389,Curtis Samuel,WR,103.5555,BUF,89
879799,Kyler Murray,QB,75.63425,ARI,90
1285917,Brock Bowers,TE,92.20551,LV,91
878785,Joe Burrow,QB,68.12701,CIN,92
591816,Dak Prescott,QB,82.93595,DAL,93
1123379,Chase Brown,RB,121.9416,CIN,94
913170,Zack Moss,RB,95.99806,CIN,95
606501,Raheem Mostert,RB,87.32832,MIA,96
880398,Tony Pollard,RB,94.6662,TEN,97
973964,Najee Harris,RB,92.58554,PIT,98
1059612,Joshua Palmer,WR,128.4089,LAC,99
832098,David Njoku,TE,86.67735,CLE,100
912137,Jordan Love,QB,79.60426,GB,101
1161228,Jayden Daniels,QB,108.204,WAS,102
1121761,Brock Purdy,QB,97.38793,SF,103
1286445,Caleb Williams,QB,90.75152,CHI,104
838878,Courtland Sutton,WR,117.6015,DEN,105
1130603,Khalil Shakir,WR,113.4546,BUF,106
1122653,Romeo Doubs,WR,110.5274,GB,107
605242,Tyler Lockett,WR,120.9028,SEA,108
923412,Rashid Shaheed,WR,126.9026,NO,109
791365,Dallas Goedert,TE,108.1152,PHI,110
973966,Brian Robinson Jr.,RB,118.609,WAS,111
607864,Brandin Cooks,WR,135.7218,DAL,112
1172428,Dontayvion Wicks,WR,150.499,GB,113
1107881,Javonte Williams,RB,105.3721,DEN,114
739799,Gus Edwards,RB,120.9079,LAC,115
916466,Devin Singletary,RB,114.5675,NYG,116
1169430,Tyjae Spears,RB,124.931,TEN,117
1248031,Trey Benson,RB,107.1983,ARI,118
1229540,Blake Corum,RB,129.9529,LAR,119
1125737,Jerome Ford,RB,136.9841,CLE,120
933480,Rico Dowdle,RB,141.002,DAL,121
1110711,Trevor Lawrence,QB,113.2585,JAX,122
973935,Jerry Jeudy,WR,135.4457,CLE,123
880151,Jakobi Meyers,WR,126.1365,LV,124
976761,Gabe Davis,WR,130.6693,JAX,125
733754,Mike Williams,WR,103.9822,NYJ,126
1215077,Josh Downs,WR,139.4177,IND,127
973947,Tua Tagovailoa,QB,109.1704,MIA,128
727837,Jared Goff,QB,107.4786,DET,129
910562,Justin Herbert,QB,115.5725,LAC,130
1164530,Zach Charbonnet,RB,140.2473,SEA,131
830523,Dalton Schultz,TE,117.7785,HOU,132
728338,Ezekiel Elliott,RB,131.3007,DAL,133
1213881,Ja'Lynn Polk,WR,163.4828,NE,134
1285908,Adonai Mitchell,WR,116.1358,IND,135
1116662,Pat Freiermuth,TE,140.6085,PIT,136
503184,Taysom Hill,TE,175.3261,NO,137
1180321,Xavier Legette,WR,142.7422,CAR,138
790004,Austin Ekeler,RB,99.33485,WAS,139
1213414,MarShawn Lloyd,RB,170.7516,GB,140
912027,Darnell Mooney,WR,156.0942,ATL,141
1121878,Jahan Dotson,WR,142.5176,WAS,142
822857,Nick Chubb,RB,93.49834,CLE,143
1059576,Ty Chandler,RB,155.1705,MIN,144
1131198,Tyler Allgeier,RB,169.6322,ATL,145
1286513,Jaylen Wright,RB,152.0067,MIA,146
1165229,Ray Davis,RB,157.9602,BUF,147
1066765,Cole Kmet,TE,129.4049,CHI,148
923915,T.J. Hockenson,TE,115.1788,MIN,149
1179790,Luke Musgrave,TE,146.2342,GB,150
403308,Kirk Cousins,QB,124.2412,ATL,151
213957,Aaron Rodgers,QB,135.2281,NYJ,152
323205,Matthew Stafford,QB,133.6523,LAR,153
828743,Deshaun Watson,QB,148.6026,CLE,154
1271738,Jaleel McLaughlin,RB,190.5299,DEN,155
1161416,Ricky Pearsall,WR,149.4976,SF,156
1164875,Wan'Dale Robinson,WR,181.8309,NYG,157
1123529,Michael Wilson,WR,163.3908,ARI,158
1175693,DeMario Douglas,WR,192.602,NE,159
733643,Adam Thielen,WR,152.935,CAR,160
1107826,Antonio Gibson,RB,166.5285,NE,161
1062047,Chuba Hubbard,RB,160.0822,CAR,162
513856,Geno Smith,QB,163.5273,SEA,163
727279,Demarcus Robinson,WR,199.4742,LAR,164
861278,Tyler Conklin,TE,189.5286,NYJ,165
744425,Hunter Henry,TE,166.4718,NE,166
1125111,Isaiah Likely,TE,167.8071,BAL,167
923911,Noah Fant,TE,208.8817,SEA,168
1049263,Cade Otton,TE,156.4558,TB,169
1218631,Jermaine Burton,WR,171.6476,CIN,170
1215291,Malachi Corley,WR,172.3971,NYJ,171
822008,DJ Chark Jr.,WR,214.5055,FA,172
1213726,Jalen McMillan,WR,210.9959,TB,173
1124851,Andrei Iosivas,WR,230.629,CIN,174
748070,Baker Mayfield,QB,146.4582,TB,175
1164846,Luke McCaffrey,WR,184.1821,WAS,176
1213799,Marvin Mims Jr.,WR,180.2363,DEN,177
1116663,Will Levis,QB,171.1109,TEN,178
1110681,Justin Fields,QB,184.8131,PIT,179
1066424,Jalen Tolbert,WR,227.5881,DAL,180
1108208,Rashod Bateman,WR,183.1579,BAL,181
1287923,Bucky Irving,RB,183.9143,TB,182
1229669,Roman Wilson,WR,165.826,PIT,183
1050833,Elijah Mitchell,RB,198.853,SF,184
976513,J.K. Dobbins,RB,144.6442,LAC,185
1214824,Kimani Vidal,RB,173.6959,LAC,186
935104,Khalil Herbert,RB,187.9237,CHI,187
1325231,Braelon Allen,RB,226.1215,NYJ,188
743749,Jonnu Smith,TE,187.5608,MIA,189
1228920,Ben Sinnott,TE,159.5315,WAS,190
884609,Juwan Johnson,TE,176.1513,NO,191
910852,Greg Dortch,WR,219.9213,ARI,192
1321291,Audric Estime,RB,206.5639,DEN,193
1128998,Deneric Prince,RB,,KC,194
1213867,Kendre Miller,RB,161.6508,NO,195
1128085,Greg Dulcich,TE,230.7983,DEN,196
1163265,Roschon Johnson,RB,193.6934,CHI,197
1108998,Dameon Pierce,RB,207.2692,HOU,198
1287636,Will Shipley,RB,208.2039,PHI,199
1231136,Javon Baker,WR,194.8309,NE,200
1214414,Theo Johnson,TE,230.2582,NYG,201
1277914,Devontez Walker,WR,217.478,BAL,202
836152,Mike Gesicki,TE,208.2364,CIN,203
881956,Hayden Hurst,TE,230.4848,LAC,204
1109708,Tyrone Tracy Jr.,RB,194.9993,NYG,205
879981,Daniel Jones,QB,193.3448,NYG,206
1161899,Bo Nix,QB,198.1821,DEN,207
1213257,Bryce Young,QB,185.9291,CAR,208
496083,Derek Carr,QB,185.5682,NO,209
1286803,Drake Maye,QB,183.2212,NE,210
1287599,J.J. McCarthy,QB,164.423,MIN,211
1122182,Dylan Laube,RB,214.8318,LV,212
1213865,Quentin Johnston,WR,151.4045,LAC,213
822367,Josh Reynolds,WR,226.0215,DEN,214
1222789,Keaton Mitchell,RB,179.5701,BAL,215
1116001,Jordan Mason,RB,,SF,216
1215035,Tank Bigsby,RB,220.7681,JAX,217
976236,Trey Sermon,RB,,IND,218
754412,Kendrick Bourne,WR,216.6379,NE,219
1232892,Jalin Hyatt,WR,208.8884,NYG,220
742387,Tyler Boyd,WR,213.6322,FA,221
702808,Mack Hollins,WR,228.8795,BUF,222
1164979,Tre Tucker,WR,231.339,LV,223
881058,K.J. Osborn,WR,228.8711,NE,224
880557,Darius Slayton,WR,218.7491,NYG,225
975503,Jelani Woods,TE,229.6813,IND,226
867759,Ray-Ray McCloud III,WR,,ATL,227
1213486,Johnny Wilson,WR,227.0405,PHI,228
921050,Kylen Granson,TE,230.4433,IND,229
836103,Noah Brown,WR,221.6462,HOU,230
1286176,Troy Franklin,WR,158.0856,DEN,231
692660,Kalif Raymond,WR,229.948,DET,232
691055,Nelson Agholor,WR,227.7556,BAL,233
746491,Zay Jones,WR,,,234
589984,Odell Beckham Jr.,WR,199.7762,FA,235
1173255,Malik Washington,WR,212.0677,MIA,236
1062765,Calvin Austin III,WR,227.9101,PIT,237
1106374,Chig Okonkwo,TE,195.5432,TEN,238
884083,Dawson Knox,TE,227.7269,BUF,239
1232592,Michael Mayer,TE,211.8139,LV,240
1124664,Cedric Tillman,WR,,CLE,241
1225999,Brenden Rice,WR,218.3237,LAC,242
1172024,Treylon Burks,WR,222.6256,TEN,243
1229133,Rasheen Ali,RB,227.7744,BAL,244
1164137,Jawhar Jordan,RB,228.0075,HOU,245
835443,D'Onta Foreman,RB,223.8912,CLE,246
944343,Alexander Mattison,RB,217.6053,LV,247
1130705,Kenneth Gainwell,RB,229.2185,PHI,248
1223301,Jalen Brooks,WR,,DAL,249
1128783,Elijah Moore,WR,218.2712,CLE,250
1172173,Keilan Robinson,RB,,JAX,251
976650,Clyde Edwards-Helaire,RB,226.6876,KC,252
1122323,Lucas Krull,TE,,DEN,253
1173266,Evan Hull,RB,227.191,IND,254
1126338,Isaac Guerendo,RB,214.7238,SF,255
1161798,Eric Gray,RB,230.4512,NYG,256
1326628,Ja'Tavion Sanders,TE,200.301,CAR,257
1181874,Tucker Kraft,TE,218.6891,GB,258
875649,Donald Parham Jr.,TE,223.9441,LAC,259
1060312,Colby Parkinson,TE,228.9045,LAR,260
1161664,Davis Allen,TE,229.7797,LAR,261
1066811,Aidan O'Connell,QB,225.8614,LV,262
1122035,Daniel Bellinger,TE,230.825,NYG,263
832220,Justin Watson,WR,225.2264,KC,264
1177970,Xavier Gipson,WR,225.2264,NYJ,265
1229074,Parker Washington,WR,229.8462,JAX,266
1180328,Ainias Smith,WR,226.8125,PHI,267
838179,Tim Patrick,WR,232.3922,DEN,268
924261,Miles Sanders,RB,228.1605,CAR,269
1108937,Jaret Patterson,RB,,LAC,270
1160348,John Metchie III,WR,227.5238,HOU,271
1106760,Tutu Atwell,WR,227.7432,LAR,272
1181861,Jacob Cowing,WR,230.459,SF,273
1163273,Jordan Whittington,WR,235.1667,LAR,274
1182695,Mason Tipton,WR,,NO,275
974825,Kadarius Toney,WR,225.701,KC,276
1127080,Nikko Remigio,WR,,KC,277
1393832,Ryan Flournoy,WR,229.5185,DAL,278
1109758,A.T. Perry,WR,228.5311,NO,279
867303,Gardner Minshew II,QB,211.948,LV,280
880026,Sam Darnold,QB,225.7881,MIN,281
820734,Samaje Perine,RB,227.1603,DEN,282
838487,Gerald Everett,TE,227.9021,CHI,283
1161739,Trey Palmer,WR,228.7874,TB,284
1115394,Tanner Hudson,TE,230.1613,CIN,285
839043,D'Ernest Johnson,RB,232.7576,JAX,286
742382,Marquez Valdes-Scantling,WR,,FA,287
946094,Chase Claypool,WR,227.7484,FA,288
