Name,Team,Wk17,Bye,Pos,P Rk,Rank,ADP,Rookie,+/-,id
Jameson Williams,DET,MIN,8,WR,WR25,48,45.8,,-2.2,c3a3bd66-d55d-44f7-98f6-78450678fa87
Courtland Sutton,DEN,KC,12,WR,WR26,49,47.3,,-1.7,7601e2e8-add1-4c8c-b169-b63a49fdf57b
Jaylen Waddle,MIA,TB,12,WR,WR27,50,55.0,,5,506c6382-05b9-4090-ada6-aa977ab6afca
Travis Hunter,JAX,IND,8,WR,WR28,51,56.8,Rookie,5.8,d8c923f8-3ccf-49c2-895a-c58ad280c088
DK Metcalf,PIT,CLE,5,WR,WR29,52,49.8,,-2.2,30669c4d-f918-49b2-9f5b-8bd47016d097
Calvin Ridley,TEN,NO,10,WR,WR30,53,51.6,,-1.4,2c4e3e6e-667c-44c3-8083-bfd11b1fd7a8
TreVeyon Henderson,NE,NYJ,14,RB,RB17,54,43.6,Rookie,-10.4,e04ddd15-a5ab-41e8-82b2-3dfc90a2c893
Zay Flowers,BAL,GB,7,WR,WR31,55,57.6,,2.6,655f249b-461d-426c-97c7-efc20870c660
Chuba Hubbard,CAR,SEA,14,RB,RB18,56,55.4,,-0.6,a8c3cb2b-7728-4ee0-8f89-f218e5e0c409
Rashee Rice,KC,DEN,10,WR,WR32,57,55.9,,-1.1,f1e0fe78-af51-4e41-9f58-a8146a69c5a9
RJ Harvey,DEN,KC,12,RB,RB19,58,59.8,Rookie,1.8,fbc4cce8-3964-402c-a0a6-dbe13b5ebd86
James Conner,ARI,CIN,8,RB,RB20,59,60.6,,1.6,c43f5ce9-2f01-49df-83cb-c198ca9c49c8
Stefon Diggs,NE,NYJ,14,WR,WR33,60,69.1,,9.1,e57459d1-a8ea-4e55-909d-06b378e09b02
Joe Burrow,CIN,ARI,10,QB,QB5,61,61.8,,0.8,08681b3b-8775-4637-84fa-e23da96e59f6
Chris Olave,NO,TEN,11,WR,WR34,62,67.4,,5.4,1b2c7c20-e458-454d-be39-7aaebabf1e30
Emeka Egbuka,TB,MIA,9,WR,WR35,63,59.5,Rookie,-3.5,a41974fe-71b2-408e-847d-86405b104654
Matthew Golden,GB,BAL,5,WR,WR36,64,66.5,Rookie,2.5,53ef4d2b-2f6f-4b63-b1bc-a76c109cf4c4
Rome Odunze,CHI,SF,5,WR,WR37,65,63.5,,-1.5,be004901-0a0f-41cd-ab83-c0d8d7ad916d
Alvin Kamara,NO,TEN,11,RB,RB21,66,56.9,,-9.1,d2928ec9-ae89-4894-aded-09b6602cf28e
Ricky Pearsall,SF,CHI,14,WR,WR38,67,59.3,,-7.7,812a947e-6ecc-43ce-9572-ac9da7cc4bcb
Jakobi Meyers,LV,NYG,8,WR,WR39,68,74.6,,6.6,6d09867d-203b-4d91-975c-128125e7cf89
David Montgomery,DET,MIN,8,RB,RB22,69,75.4,,6.4,e4bcd565-12d4-4b4c-91b1-1b72541b24e2
Deebo Samuel,WAS,DAL,12,WR,WR40,70,65.7,,-4.3,533aaf00-6105-4dc7-9e32-ee6e0e78a66a
Sam LaPorta,DET,MIN,8,TE,TE4,71,76.7,,5.7,a259e591-fec1-4185-a0b2-43a434cc9f49
Jerry Jeudy,CLE,PIT,9,WR,WR41,72,70.7,,-1.3,c34084aa-c044-4695-81ee-6328f98c591c
Jauan Jennings,SF,CHI,14,WR,WR42,73,75.7,,2.7,2d542871-3989-447d-89e6-9dcfbd6894e6
D'Andre Swift,CHI,SF,5,RB,RB23,74,68.4,,-5.6,94224657-62c9-4238-86f2-ba2c07ce0e4b
Tony Pollard,TEN,NO,10,RB,RB24,75,70.0,,-5,5c510a1a-d9f3-47c5-8c7f-c9c7d0968dd5
Isiah Pacheco,KC,DEN,10,RB,RB25,76,69.8,,-6.2,467dd20b-81e4-42a3-837a-ed937702925e
Patrick Mahomes,KC,DEN,10,QB,QB6,77,81.2,,4.2,4808cc03-7e41-4c33-974f-a1701a98324c
Aaron Jones,MIN,DET,6,RB,RB26,78,79.7,,1.7,f50101bc-fbfa-4a82-a625-c11c479cfbe8
Jordan Addison,MIN,DET,6,WR,WR43,79,74.9,,-4.1,411b0cfe-9139-43a5-a95c-748758368d75
Jayden Reed,GB,BAL,5,WR,WR44,80,82.5,,2.5,f234f298-dc09-48a1-8198-168a9c25c28c
Josh Downs,IND,JAX,11,WR,WR45,81,85.3,,4.3,2965705e-121c-4f6f-a67e-200c1f221343
T.J. Hockenson,MIN,DET,6,TE,TE5,82,86.2,,4.2,4ddaf397-6424-4910-b9ec-49aef1d2b69a
Michael Pittman Jr.,IND,JAX,11,WR,WR46,83,92.3,,9.3,1589e799-5723-4f51-a99a-817c1f5d9a61
Jayden Higgins,HOU,LAC,6,WR,WR47,84,92.4,Rookie,8.4,6f51ed2b-b312-4ac8-a02b-f791528ab5eb
Khalil Shakir,BUF,PHI,7,WR,WR48,85,83.6,,-1.4,55ba823b-3e25-4a1d-922d-9c622a052aaf
Mark Andrews,BAL,GB,7,TE,TE6,86,97.4,,11.4,f52f0cdf-de38-4cd9-a5c9-b54b2958ea05
Jordan Mason,MIN,DET,6,RB,RB27,87,83.8,,-3.2,85474863-13c5-412b-a5fd-cebdd1383524
Kyler Murray,ARI,CIN,8,QB,QB7,88,97.7,,9.7,017dad8b-5da7-4e17-a567-10e147fbb7c7
Travis Kelce,KC,DEN,10,TE,TE7,89,93.5,,4.5,bbd7c5bc-808f-4c97-80e1-6029515ff8bc
Jaylen Warren,PIT,CLE,5,RB,RB28,90,88.6,,-1.4,d8c284a1-8746-41fc-bd8e-fbfb20bf2e92
Tyrone Tracy,NYG,LV,14,RB,RB29,91,86.5,,-4.5,c8fd58f1-4635-46b0-9727-6cdd493a63a0
Keon Coleman,BUF,PHI,7,WR,WR49,92,88.0,,-4,d94128a2-2821-4fe3-95ee-ad6a026b85cb
Cooper Kupp,SEA,CAR,8,WR,WR50,93,99.9,,6.9,c0c80e9d-fe68-441d-90d4-b5828752b9c7
Tyler Warren,IND,JAX,11,TE,TE8,94,91.6,Rookie,-2.4,59cd0550-2714-465f-a640-99957e7fc514
Kaleb Johnson,PIT,CLE,5,RB,RB30,95,79.0,Rookie,-16,ea213cff-af5a-4902-b17d-14591284ccac
Baker Mayfield,TB,MIA,9,QB,QB8,96,93.0,,-3,12a4ad78-4491-4aa3-8373-0fa48356c7f7
Brock Purdy,SF,CHI,14,QB,QB9,97,102.5,,5.5,a9944d33-2618-448b-9dfb-73b9a43b1296
Bo Nix,DEN,KC,12,QB,QB10,98,95.6,,-2.4,bfa23971-1c74-42b7-a7da-cf3bb80a1355
Dak Prescott,DAL,WAS,10,QB,QB11,99,104.0,,5,1a3c579b-489d-476c-8e92-96396daccfa2
Chris Godwin,TB,MIA,9,WR,WR51,100,100.0,,0,d0d1514c-26e3-405f-84de-8072bc2b0fa7
Zach Charbonnet,SEA,CAR,8,RB,RB31,101,97.7,,-3.3,39526890-3152-4899-a948-99f0a9858b6f
Drake Maye,NE,NYJ,14,QB,QB12,102,111.5,,9.5,1fd437b3-ec8a-40ff-af9b-bdeb9e195111
Jacory Croskey-Merritt,WAS,DAL,12,RB,RB32,103,107.1,Rookie,4.1,f47f5778-3c4d-4320-a4f9-cb57a229024a
J.K. Dobbins,DEN,KC,12,RB,RB33,104,98.8,,-5.2,fb971e03-d484-4d81-982d-0e0af12179e6
Justin Fields,NYJ,NE,9,QB,QB13,105,109.0,,4,69a1328c-ef69-41a4-a9c6-9ef0f96179f0
Colston Loveland,CHI,SF,5,TE,TE9,106,109.4,Rookie,3.4,72f1fd78-4146-4527-8de9-823b13309425
Luther Burden,CHI,SF,5,WR,WR52,107,113.1,Rookie,6.1,9df8f9e8-d362-46e0-be35-502442b747e6
Rashid Shaheed,NO,TEN,11,WR,WR53,108,105.4,,-2.6,8c7f9176-18b8-4f59-bc46-2c14a60bfed8
Travis Etienne Jr.,JAX,IND,8,RB,RB34,109,103.5,,-5.5,fb9df616-a7a2-4339-ab1a-b3e5dfd2278b
Caleb Williams,CHI,SF,5,QB,QB14,110,113.8,,3.8,a6e88774-89df-4886-b850-16c63473fcbe
Darnell Mooney,ATL,LAR,5,WR,WR54,111,105.7,,-5.3,eefaafc6-b10a-4794-a6dc-4233a1c2263f
Evan Engram,DEN,KC,12,TE,TE10,112,105.4,,-6.6,43e1dda1-d83d-4da9-a11a-e6c4b714e102
Christian Kirk,HOU,LAC,6,WR,WR55,113,117.1,,4.1,e35cb821-a7ae-41d8-a7c1-3fb43082b786
Jared Goff,DET,MIN,8,QB,QB15,114,120.0,,6,a889c484-29f2-47ac-805b-49691067644b
Justin Herbert,LAC,HOU,12,QB,QB16,115,127.7,,12.7,37bd88b0-b695-4a09-a0e9-fc29f6c14dfd
Jordan Love,GB,BAL,5,QB,QB17,116,128.7,,12.7,86d70c50-1438-435a-be56-17fc097d2763
Cam Skattebo,NYG,LV,14,RB,RB35,117,117.3,Rookie,0.3,45040fd6-c586-4f05-b4a5-35e32042f5c8
Trevor Lawrence,JAX,IND,8,QB,QB18,118,130.3,,12.3,01b46905-02f2-4016-a320-7cc36b5d1afc
Bhayshul Tuten,JAX,IND,8,RB,RB36,119,130.0,Rookie,11,ae822ce4-b4ff-4b53-bf83-be036fe15dd2
C.J. Stroud,HOU,LAC,6,QB,QB19,120,133.6,,13.6,d97eb184-b572-477a-98c8-e918a0bf1c66
Rhamondre Stevenson,NE,NYJ,14,RB,RB37,121,127.2,,6.2,9a1d9082-34b9-40f4-8e3c-330caa3fa989
Tank Bigsby,JAX,IND,8,RB,RB38,122,122.9,,0.9,91edd6d6-bd65-4571-8713-41fc3cd2eb92
Marvin Mims Jr.,DEN,KC,12,WR,WR56,123,118.6,,-4.4,e7384056-0c8d-48b5-8ece-43a68ad9d200
Tucker Kraft,GB,BAL,5,TE,TE11,124,114.0,,-10,48dddfc4-9fbb-49f7-93ca-49b5bad5b640
Brandon Aiyuk,SF,CHI,14,WR,WR57,125,126.1,,1.1,7eba46a1-1484-4352-b7f8-480163694c25
J.J. McCarthy,MIN,DET,6,QB,QB20,126,125.2,,-0.8,78a6939e-5faf-45ed-98f2-674a84e65045
Dylan Sampson,CLE,PIT,9,RB,RB39,127,141.4,Rookie,14.4,032a165a-b343-4c8f-a56f-8fc47d2a4a07
Dallas Goedert,PHI,BUF,9,TE,TE12,128,141.4,,13.4,315ad6ba-764f-4118-9deb-03720308a0c2
Rashod Bateman,BAL,GB,7,WR,WR58,129,115.1,,-13.9,a539369c-22ad-4d91-b5b9-a616d39018b8
Dalton Kincaid,BUF,PHI,7,TE,TE13,130,131.7,,1.7,8e3162f9-5b76-46e8-b189-777db6212f8b
David Njoku,CLE,PIT,9,TE,TE14,131,119.8,,-11.2,96103fd4-acc7-4dba-adcf-ae140cf7d983
Ray Davis,BUF,PHI,7,RB,RB40,132,138.6,,6.6,216c2a61-381c-4520-a163-a8af32943fb9
Kyle Williams,NE,NYJ,14,WR,WR59,133,150.8,Rookie,17.8,d1bb13ec-b37e-420c-b9f5-e76698cb6b2b
Michael Penix,ATL,LAR,5,QB,QB21,134,142.9,,8.9,a6b061d0-7d58-45b0-8539-c0dd60cb26f9
Joshua Palmer,BUF,PHI,7,WR,WR60,135,136.1,,1.1,6dc7832f-45d2-4ae6-8c6a-3595e185a18e
Jake Ferguson,DAL,WAS,10,TE,TE15,136,136.4,,0.4,5336c84a-59d1-4502-b26c-a9a7a5683195
DeMario Douglas,NE,NYJ,14,WR,WR61,137,147.9,,10.9,63cbde87-5fd3-410c-9c64-2185510182ef
Dont'e Thornton,LV,NYG,8,WR,WR62,138,156.7,Rookie,18.7,7062199b-47a5-4de1-bc7d-22640861b406
Tre' Harris,LAC,HOU,12,WR,WR63,139,150.9,Rookie,11.9,06bb179e-5f55-4679-9f0d-e94d1c5dff0c
Tua Tagovailoa,MIA,TB,12,QB,QB22,140,157.9,,17.9,bfd060c8-dfa0-43d4-beb2-6f3e5b9df69e
Tyler Allgeier,ATL,LAR,5,RB,RB41,141,155.9,,14.9,00403734-5e69-424c-974e-ceefbc335618
Trey Benson,ARI,CIN,8,RB,RB42,142,138.7,,-3.3,9ee85b14-7fae-4772-b58f-fa2922f230ef
Braelon Allen,NYJ,NE,9,RB,RB43,143,132.5,,-10.5,84f0a2d4-81a1-424b-a516-172e02cd82e3
Keenan Allen,LAC,HOU,12,WR,WR64,144,121.5,,-22.5,8086a0ab-51d0-4510-af6e-34603b9ad807
Austin Ekeler,WAS,DAL,12,RB,RB44,145,141.2,,-3.8,566b0f64-6a4f-4882-aa36-99d15ce990f5
Bryce Young,CAR,SEA,14,QB,QB23,146,151.3,,5.3,04c979d6-83b7-40dc-83fc-ed4db79ce5f9
Cam Ward,TEN,NO,10,QB,QB24,147,152.2,Rookie,5.2,ff6b158c-6ff5-45c7-879e-32086288c5fb
Romeo Doubs,GB,BAL,5,WR,WR65,148,151.3,,3.3,c27b2fd7-45a7-409c-9973-3346fd3062fc
Kyle Pitts,ATL,LAR,5,TE,TE16,149,138.7,,-10.3,baf94a12-0921-4655-9b10-12b59b77c57c
Brenton Strange,JAX,IND,8,TE,TE17,150,154.2,,4.2,951df6a2-c1b0-499f-819e-67798c2cc6a2
Geno Smith,LV,NYG,8,QB,QB25,151,162.9,,11.9,2f6b0b7d-b3fe-46e5-b7ef-c84495f0e78a
Hollywood Brown,KC,DEN,10,WR,WR66,152,145.1,,-6.9,27c2ab08-d88c-427a-b0d3-cf0ba47af2f7
Jaydon Blue,DAL,WAS,10,RB,RB45,153,145.3,Rookie,-7.7,e4a0d065-ce78-4bf8-8e8e-ecce74e7e30c
Wan'Dale Robinson,NYG,LV,14,WR,WR67,154,167.8,,13.8,42be1a8b-6bdd-4bda-a857-3a01bbc6aeac
Quinshon Judkins,CLE,PIT,9,RB,RB46,155,130.5,Rookie,-24.5,513473ee-8e3f-48d1-a0fc-a4f77bc195b9
Rachaad White,TB,MIA,9,RB,RB47,156,165.5,,9.5,9012f171-568e-4292-94ba-f4b308eac941
Hunter Henry,NE,NYJ,14,TE,TE18,157,159.8,,2.8,24e943a8-7926-4012-9d7e-138315b764cd
Matthew Stafford,LAR,ATL,8,QB,QB26,158,175.8,,17.8,50be3583-2a3d-455a-91ce-ba6959783642
Tyjae Spears,TEN,NO,10,RB,RB48,159,158.1,,-0.9,76809c5a-f06d-479a-a218-f22ee3e13a83
Isaac TeSlaa,DET,MIN,8,WR,WR68,160,177.0,Rookie,17,383c8d7f-a817-4096-a6b6-a6b1366d87fb
Zach Ertz,WAS,DAL,12,TE,TE19,161,163.3,,2.3,44a906d5-b179-45f9-b69f-281595bea71d
Sam Darnold,SEA,CAR,8,QB,QB27,162,179.5,,17.5,afb9a9f4-bacd-46f5-ad31-80b2427eae28
Chig Okonkwo,TEN,NO,10,TE,TE20,163,166.0,,3,2a65964a-1345-435e-998e-ee29adf6d251
Najee Harris,LAC,HOU,12,RB,RB49,164,161.6,,-2.4,3a9a963f-6618-40ac-93c6-96ea04cb223f
Jalen Coker,CAR,SEA,14,WR,WR69,165,190.2,,25.2,c9e2cfc7-8db1-49ab-944b-61108f687aca
Quentin Johnston,LAC,HOU,12,WR,WR70,166,189.0,,23,82b3392d-0403-4cc7-9adc-8881b1647655
Troy Franklin,DEN,KC,12,WR,WR71,167,190.8,,23.8,ec3a92be-ca46-44e1-8263-9c184ba313c1
Javonte Williams,DAL,WAS,10,RB,RB50,168,131.5,,-36.5,af512904-a1c9-4f40-ac9b-3f04329bc6b8
Cade Otton,TB,MIA,9,TE,TE21,169,176.2,,7.2,027fe218-a84a-450c-a89d-7ad6c4cf94b9
Mason Taylor,NYJ,NE,9,TE,TE22,170,183.4,Rookie,13.4,a6ce2c32-ead2-45cf-8add-22978d63a07e
Jonnu Smith,PIT,CLE,5,TE,TE23,171,183.3,,12.3,c6ad3f37-27db-4232-99cc-aeed22777e85
Harold Fannin,CLE,PIT,9,TE,TE24,172,197.2,Rookie,25.2,2d084934-667e-4903-b462-a33b9041291d
Rico Dowdle,CAR,SEA,14,RB,RB51,173,177.5,,4.5,a07ec2e7-a9ff-4797-8b81-e97de03a6a51
DJ Giddens,IND,JAX,11,RB,RB52,174,194.4,Rookie,20.4,5187785b-3707-4207-aee0-a55778dfb9a1
Brian Robinson Jr.,SF,CHI,14,RB,RB53,175,117.6,,-57.4,d163492c-f926-4cb9-96fc-b93759e92541
Xavier Legette,CAR,SEA,14,WR,WR72,176,164.5,,-11.5,a18e7872-b3df-4c74-8130-feb720a928c1
Tory Horton,SEA,CAR,8,WR,WR73,177,175.2,Rookie,-1.8,0407fcef-4a8c-4e2f-bef3-779851de306f
Will Shipley,PHI,BUF,9,RB,RB54,178,173.0,,-5,f69a3a63-744a-4568-a158-b69f0d5e4eb6
Pat Bryant,DEN,KC,12,WR,WR74,179,174.6,Rookie,-4.4,e0d74144-6bd8-467f-b5a6-de01ef683097
Nick Chubb,HOU,LAC,6,RB,RB55,180,159.1,,-20.9,6958938f-e1b1-4a04-9277-0d13ce07df21
Ollie Gordon,MIA,TB,12,RB,RB56,181,159.6,Rookie,-21.4,831716ac-821d-4b07-8f37-36886cc43843
Adam Thielen,MIN,DET,6,WR,WR75,182,171.8,,-10.2,1cc825d2-4975-4afe-a47d-b69f0e57cbc1
Keaton Mitchell,BAL,GB,7,RB,RB57,183,184.0,,1,b760285b-f146-44b7-91a6-80b79734aa3a
Elic Ayomanor,TEN,NO,10,WR,WR76,184,183.7,Rookie,-0.3,e62e6781-add8-4eaa-9713-1448b8ff72a5
Kendre Miller,NO,TEN,11,RB,RB58,185,212.3,,27.3,5f9ab9ae-8374-4dca-8ff1-660f399c587c
Jaylin Lane,WAS,DAL,12,WR,WR77,186,212.3,Rookie,26.3,c76c03d8-1795-4ef9-a2cf-ee0f10c4bc4f
Aaron Rodgers,PIT,CLE,5,QB,QB28,187,197.0,,10,1bd33029-b88d-43fa-998e-775a6741a5e7
Jaylin Noel,HOU,LAC,6,WR,WR78,188,209.0,Rookie,21,3dbcda8c-adc6-4d3e-9ed8-12b7581aa0ba
Cedric Tillman,CLE,PIT,9,WR,WR79,189,153.4,,-35.6,be28ffd2-9c10-44fd-937a-0dd5fa9f22c9
Brashard Smith,KC,DEN,10,RB,RB59,190,211.5,Rookie,21.5,edeb9b06-d0b7-44cc-ac47-971fa68ff0a6
Adonai Mitchell,IND,JAX,11,WR,WR80,191,208.1,,17.1,0ad724ff-2212-4ec4-8261-793e76298a17
Jerome Ford,CLE,PIT,9,RB,RB60,192,172.4,,-19.6,47a14de7-342a-4a2d-b5ea-2e4cca880e67
Chris Rodriguez,WAS,DAL,12,RB,RB61,193,185.2,,-7.8,a7f67b7a-1598-48d5-b9bc-b7921b03f5c7
Isaiah Likely,BAL,GB,7,TE,TE25,194,173.5,,-20.5,427d8203-aea8-4b01-972f-039aa0baa0c3
Darius Slayton,NYG,LV,14,WR,WR81,195,191.4,,-3.6,bdecac5a-bd13-4a2c-94c8-4ff12c29d50a
DeAndre Hopkins,BAL,GB,7,WR,WR82,196,204.0,,8,54ad314c-d98a-4087-9831-d9fe55233e1c
Michael Wilson,ARI,CIN,8,WR,WR83,197,195.3,,-1.7,9e0a17b1-fda3-4066-aa3c-4f742588536c
Alec Pierce,IND,JAX,11,WR,WR84,198,202.1,,4.1,bc9e2c1b-6bb4-4bc9-84af-202f71c65de7
Kareem Hunt,KC,DEN,10,RB,RB62,199,210.1,,11.1,011d7af8-9fc6-47e2-b1c7-60ad22188306
Kyle Monangai,CHI,SF,5,RB,RB63,200,207.0,Rookie,7,2521c244-cb3c-497e-b928-9c2f542bb7c3
Tahj Brooks,CIN,ARI,10,RB,RB64,201,202.7,Rookie,1.7,10b8eca4-c667-4927-a2ab-e24021ad18a5
Jack Bech,LV,NYG,8,WR,WR85,202,213.0,Rookie,11,3506f452-2e97-46e6-be4b-e79fed5b3491
Woody Marks,HOU,LAC,6,RB,RB65,203,180.9,Rookie,-22.1,1dd1d43a-bb2c-4293-b086-af81f7f8a31f
Juwan Johnson,NO,TEN,11,TE,TE26,204,213.2,,9.2,10b27c42-0621-472d-bfa7-3f6c598980be
Ja'Tavion Sanders,CAR,SEA,14,TE,TE27,205,196.7,,-8.3,5357fee8-c779-4442-8e21-286ad59d4cbd
Mike Gesicki,CIN,ARI,10,TE,TE28,206,195.0,,-11,a228fb38-ae0f-469d-984a-a7a3a904020d
Pat Freiermuth,PIT,CLE,5,TE,TE29,207,213.6,,6.6,49d82bda-e7fe-487a-83ab-0f4bd9e431d1
Dyami Brown,JAX,IND,8,WR,WR86,208,189.8,,-18.2,9f137949-d162-475c-bf95-9d43e7d58824
Roschon Johnson,CHI,SF,5,RB,RB66,209,206.1,,-2.9,3e43e336-3c1d-430f-8961-701e685e8d5d
Blake Corum,LAR,ATL,8,RB,RB67,210,211.3,,1.3,e34d874e-3fef-4059-887e-33a2485c13b6
Joe Mixon,HOU,LAC,6,RB,RB68,211,108.8,,-102.2,9da4da3d-00e5-494d-9b92-dd875a92a9c1
KeAndre Lambert-Smith,LAC,HOU,12,WR,WR87,212,212.8,Rookie,0.8,c9fbb50b-4617-4368-b7ac-fd02053ea786
Sean Tucker,TB,MIA,9,RB,RB69,213,211.1,,-1.9,89c932e5-9b13-487f-97c6-c23a2864510e
Jarquez Hunter,LAR,ATL,8,RB,RB70,214,214.6,Rookie,0.6,e5efd76e-3450-4e90-b4a4-74a10f8cef0b
Jalen Royals,KC,DEN,10,WR,WR88,215,214.3,Rookie,-0.7,a46b6ee1-e38e-48cc-9d43-0917418812fc
Jalen Milroe,SEA,CAR,8,QB,QB29,216,215.7,Rookie,-0.3,58c31228-6972-47f8-a167-e7fac175f5bb
